Year,County,Hospital,OSHPDID,Measure,Risk Adjusted Rate,No of Deaths/Readmissions,No of Cases,Hospital Ratings,Location 
2012-2013,Stanislaus,Memorial Hospital Medical Center – Modesto,106500939,30-day Mortality,12.66,57.0,441.0,As Expected,"(37.66727, -120.97546)"
2012-2013,Stanislaus,Oak Valley District Hospital,106500967,30-day Readmission,13.6,4.0,36.0,As Expected,"(37.75782, -120.86031)"
2012-2013,Stanislaus,Oak Valley District Hospital,106500967,30-day Mortality,11.52,3.0,37.0,As Expected,"(37.75782, -120.86031)"
2012-2013,Tehama,Saint Elizabeth Community Hospital,106521041,30-day Readmission,7.93,5.0,68.0,As Expected,"(40.1495, -122.21887)"
2012-2013,Tehama,Saint Elizabeth Community Hospital,106521041,30-day Mortality,11.42,10.0,72.0,As Expected,"(40.1495, -122.21887)"
2012-2013,Tulare,Kaweah Delta Medical Center,106540734,30-day Readmission,11.72,50.0,446.0,As Expected,"(36.32753, -119.29345)"
2012-2013,Tulare,Kaweah Delta Medical Center,106540734,30-day Mortality,13.93,58.0,475.0,Worse,"(36.32753, -119.29345)"
2012-2013,Tulare,Sierra View District Hospital,106540798,30-day Readmission,12.05,22.0,179.0,As Expected,"(36.06948, -119.02727)"
2012-2013,Tulare,Sierra View District Hospital,106540798,30-day Mortality,13.78,26.0,193.0,As Expected,"(36.06948, -119.02727)"
2012-2013,Tulare,Tulare Regional Medical Center,106540816,30-day Readmission,17.67,12.0,71.0,As Expected,"(36.22217, -119.33775)"
2012-2013,Tulare,Tulare Regional Medical Center,106540816,30-day Mortality,17.96,12.0,74.0,As Expected,"(36.22217, -119.33775)"
2012-2013,Tuolumne,Sonora Regional Medical Center – Greenley,106554011,30-day Readmission,9.76,13.0,137.0,As Expected,"(37.98811, -120.36965)"
2012-2013,Tuolumne,Sonora Regional Medical Center – Greenley,106554011,30-day Mortality,13.01,24.0,149.0,As Expected,"(37.98811, -120.36965)"
2012-2013,Ventura,Community Memorial Hospital – San Buenaventura,106560473,30-day Readmission,13.06,38.0,316.0,As Expected,"(34.274589, -119.258124)"
2012-2013,Ventura,Community Memorial Hospital – San Buenaventura,106560473,30-day Mortality,9.17,33.0,327.0,As Expected,"(34.274589, -119.258124)"
2012-2013,Ventura,Ventura County Medical Center,106560481,30-day Readmission,9.63,12.0,125.0,As Expected,"(34.27634, -119.2517)"
2012-2013,Ventura,Ventura County Medical Center,106560481,30-day Mortality,14.89,17.0,134.0,As Expected,"(34.27634, -119.2517)"
2012-2013,Ventura,Los Robles Hospital and Medical Center,106560492,30-day Readmission,12.27,29.0,267.0,As Expected,"(34.20539, -118.89297)"
2012-2013,Ventura,Los Robles Hospital and Medical Center,106560492,30-day Mortality,12.29,39.0,285.0,As Expected,"(34.20539, -118.89297)"
2012-2013,Ventura,Ojai Valley Community Hospital,106560501,30-day Readmission,6.29,2.0,31.0,As Expected,"(34.44221, -119.26311)"
2012-2013,Ventura,Ojai Valley Community Hospital,106560501,30-day Mortality,10.66,5.0,32.0,As Expected,"(34.44221, -119.26311)"
2012-2013,Ventura,Saint John’s Pleasant Valley Hospital,106560508,30-day Readmission,9.76,12.0,129.0,As Expected,"(34.24177, -119.018)"
2012-2013,Ventura,Saint John’s Pleasant Valley Hospital,106560508,30-day Mortality,12.52,22.0,137.0,As Expected,"(34.24177, -119.018)"
2012-2013,Ventura,Simi Valley Hospital and Healthcare Services – Sycamore,106560525,30-day Mortality,14.26,18.0,131.0,As Expected,"(34.28945, -118.74405)"
2012-2013,Ventura,Simi Valley Hospital and Healthcare Services – Sycamore,106560525,30-day Readmission,20.27,23.0,118.0,As Expected,"(34.28945, -118.74405)"
2012-2013,Ventura,Saint John’s Regional Medical Center,106560529,30-day Readmission,10.55,28.0,251.0,As Expected,"(34.21687, -119.15819)"
2012-2013,Ventura,Saint John’s Regional Medical Center,106560529,30-day Mortality,11.07,27.0,264.0,As Expected,"(34.21687, -119.15819)"
2012-2013,Yolo,Woodland Memorial Hospital,106571086,30-day Readmission,8.29,7.0,98.0,As Expected,"(38.66284, -121.7933)"
2012-2013,Yolo,Woodland Memorial Hospital,106571086,30-day Mortality,17.63,20.0,107.0,Worse,"(38.66284, -121.7933)"
2012-2013,Yolo,Sutter Davis Hospital,106574010,30-day Readmission,5.79,4.0,69.0,As Expected,"(38.56154, -121.77244)"
2012-2013,Yolo,Sutter Davis Hospital,106574010,30-day Mortality,10.23,9.0,72.0,As Expected,"(38.56154, -121.77244)"
2012-2013,Yuba,Rideout Memorial Hospital,106580996,30-day Readmission,11.29,37.0,331.0,As Expected,"(39.138222, -121.594363)"
2012-2013,Yuba,Rideout Memorial Hospital,106580996,30-day Mortality,12.2,39.0,348.0,As Expected,"(39.138222, -121.594363)"
2013-2014,Alameda,Alameda Hospital,106010735,30-day Mortality,10.28,124.0,16.0,As Expected,"(37.762953, -122.25362)"
2013-2014,Alameda,Alameda Hospital,106010735,30-day Readmission,16.56,109.0,18.0,As Expected,"(37.762953, -122.25362)"
2013-2014,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,30-day Mortality,4.77,346.0,15.0,Better,"(37.85633, -122.25784)"
2013-2014,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,30-day Readmission,9.02,325.0,29.0,As Expected,"(37.85633, -122.25784)"
2013-2014,Alameda,Highland Hospital,106010846,30-day Readmission,15.36,182.0,26.0,As Expected,"(37.79917, -122.2312)"
2013-2014,Alameda,Highland Hospital,106010846,30-day Mortality,14.94,201.0,13.0,As Expected,"(37.79917, -122.2312)"
2013-2014,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,30-day Readmission,11.82,393.0,55.0,As Expected,"(37.82425, -122.25792)"
2013-2014,Alameda,Kaiser Foundation Hospital – Oakland Campus,106010856,30-day Mortality,9.01,415.0,42.0,As Expected,"(37.82425, -122.25792)"
2013-2014,Alameda,Kaiser Foundation Hospital – Hayward,106010858,30-day Mortality,11.34,282.0,42.0,As Expected,"(37.62593, -122.09338)"
2013-2014,Alameda,Kaiser Foundation Hospital – Hayward,106010858,30-day Readmission,10.21,264.0,31.0,As Expected,"(37.62593, -122.09338)"
2013-2014,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,30-day Mortality,11.44,490.0,49.0,As Expected,"(37.82106, -122.26257)"
2013-2014,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,106010937,30-day Readmission,11.39,449.0,57.0,As Expected,"(37.82106, -122.26257)"
2013-2014,Alameda,Saint Rose Hospital,106010967,30-day Mortality,10.61,99.0,8.0,As Expected,"(37.63291, -122.08962)"
2013-2014,Alameda,Saint Rose Hospital,106010967,30-day Readmission,21.77,94.0,21.0,Worse,"(37.63291, -122.08962)"
2013-2014,Alameda,Washington Hospital – Fremont,106010987,30-day Mortality,8.12,343.0,30.0,As Expected,"(37.55847, -121.98006)"
2013-2014,Alameda,Washington Hospital – Fremont,106010987,30-day Readmission,10.31,316.0,33.0,As Expected,"(37.55847, -121.98006)"
2013-2014,Alameda,San Leandro Hospital,106013619,30-day Readmission,7.13,63.0,5.0,As Expected,"(37.71364, -122.14067)"
2013-2014,Alameda,San Leandro Hospital,106013619,30-day Mortality,13.5,72.0,10.0,As Expected,"(37.71364, -122.14067)"
2013-2014,Alameda,Valleycare Medical Center,106014050,30-day Mortality,9.67,124.0,11.0,As Expected,"(37.69206, -121.88095)"
2013-2014,Alameda,Valleycare Medical Center,106014050,30-day Readmission,5.41,120.0,6.0,As Expected,"(37.69206, -121.88095)"
2013-2014,Alameda,Eden Medical Center,106014233,30-day Mortality,10.96,459.0,54.0,As Expected,"(37.6983769, -122.0874055)"
2013-2014,Alameda,Eden Medical Center,106014233,30-day Readmission,12.27,422.0,53.0,As Expected,"(37.6983769, -122.0874055)"
2013-2014,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,30-day Readmission,15.04,142.0,25.0,As Expected,"(37.82402, -122.25791)"
2013-2014,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,30-day Mortality,7.66,176.0,13.0,As Expected,"(37.82402, -122.25791)"
2013-2014,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,30-day Readmission,12.35,57.0,8.0,As Expected,"(37.70611, -122.16917)"
2013-2014,Alameda,Kaiser Foundation Hospital – San Leandro,106014337,30-day Mortality,8.59,71.0,8.0,As Expected,"(37.70611, -122.16917)"
2013-2014,Amador,Sutter Amador Hospital,106034002,30-day Readmission,14.47,102.0,13.0,As Expected,"(38.34743, -120.77272)"
2013-2014,Amador,Sutter Amador Hospital,106034002,30-day Mortality,12.52,117.0,15.0,As Expected,"(38.34743, -120.77272)"
2013-2014,Butte,Feather River Hospital,106040875,30-day Mortality,9.11,137.0,13.0,As Expected,"(39.75641, -121.57218)"
2013-2014,Butte,Feather River Hospital,106040875,30-day Readmission,10.7,131.0,13.0,As Expected,"(39.75641, -121.57218)"
2013-2014,Butte,Oroville Hospital,106040937,30-day Mortality,7.56,228.0,14.0,As Expected,"(39.50485, -121.5428)"
2013-2014,Butte,Oroville Hospital,106040937,30-day Readmission,18.55,212.0,40.0,Worse,"(39.50485, -121.5428)"
2013-2014,Butte,Enloe Medical Center – Esplanade,106040962,30-day Readmission,11.73,454.0,47.0,As Expected,"(39.74224, -121.84922)"
2013-2014,Butte,Enloe Medical Center – Esplanade,106040962,30-day Mortality,11.12,489.0,63.0,As Expected,"(39.74224, -121.84922)"
2013-2014,Calaveras,Mark Twain Medical Center,106050932,30-day Readmission,17.7,41.0,6.0,As Expected,"(38.19021, -120.67105)"
2013-2014,Calaveras,Mark Twain Medical Center,106050932,30-day Mortality,11.49,44.0,5.0,As Expected,"(38.19021, -120.67105)"
2013-2014,Contra Costa,Doctors Medical Center – San Pablo,106070904,30-day Readmission,12.14,209.0,28.0,As Expected,"(37.95279, -122.33866)"
2013-2014,Contra Costa,Doctors Medical Center – San Pablo,106070904,30-day Mortality,9.04,221.0,20.0,As Expected,"(37.95279, -122.33866)"
2013-2014,Contra Costa,Contra Costa Regional Medical Center,106070924,30-day Readmission,17.16,102.0,16.0,As Expected,"(38.00646, -122.13101)"
2013-2014,Contra Costa,Contra Costa Regional Medical Center,106070924,30-day Mortality,13.86,114.0,6.0,As Expected,"(38.00646, -122.13101)"
2013-2014,Contra Costa,Sutter Delta Medical Center,106070934,30-day Readmission,9.26,143.0,15.0,As Expected,"(37.98222, -121.8054)"
2013-2014,Contra Costa,Sutter Delta Medical Center,106070934,30-day Mortality,6.67,151.0,9.0,As Expected,"(37.98222, -121.8054)"
2013-2014,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,30-day Readmission,10.74,439.0,48.0,As Expected,"(37.91434, -122.04183)"
2013-2014,Contra Costa,John Muir Medical Center – Walnut Creek Campus,106070988,30-day Mortality,9.41,484.0,64.0,As Expected,"(37.91434, -122.04183)"
2013-2014,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,30-day Readmission,10.95,335.0,40.0,As Expected,"(37.8923, -122.05828)"
2013-2014,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,30-day Mortality,7.69,356.0,36.0,As Expected,"(37.8923, -122.05828)"
2013-2014,Contra Costa,John Muir Medical Center – Concord Campus,106071018,30-day Mortality,8.13,326.0,28.0,As Expected,"(37.98615, -122.03874)"
2013-2014,Contra Costa,John Muir Medical Center – Concord Campus,106071018,30-day Readmission,10.94,300.0,35.0,As Expected,"(37.98615, -122.03874)"
2013-2014,Contra Costa,San Ramon Regional Medical Center,106074017,30-day Readmission,8.31,177.0,14.0,As Expected,"(37.77713, -121.96076)"
2013-2014,Contra Costa,San Ramon Regional Medical Center,106074017,30-day Mortality,9.27,197.0,23.0,As Expected,"(37.77713, -121.96076)"
2013-2014,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,30-day Mortality,10.0,302.0,39.0,As Expected,"(37.951975, -121.776854)"
2013-2014,Contra Costa,Kaiser Foundation Hospital – Antioch,106074097,30-day Readmission,13.28,278.0,43.0,As Expected,"(37.951975, -121.776854)"
2013-2014,Del Norte,Sutter Coast Hospital,106084001,30-day Readmission,9.21,100.0,8.0,As Expected,"(41.77278, -124.19514)"
2013-2014,Del Norte,Sutter Coast Hospital,106084001,30-day Mortality,8.07,109.0,10.0,As Expected,"(41.77278, -124.19514)"
2013-2014,El Dorado,Marshall Medical Center,106090933,30-day Readmission,7.7,178.0,13.0,As Expected,"(38.72557326, -120.7909638)"
2013-2014,El Dorado,Marshall Medical Center,106090933,30-day Mortality,9.2,189.0,22.0,As Expected,"(38.72557326, -120.7909638)"
2013-2014,Fresno,Clovis Community Medical Center,106100005,30-day Readmission,10.29,291.0,29.0,As Expected,"(36.83745, -119.66072)"
2013-2014,Fresno,Clovis Community Medical Center,106100005,30-day Mortality,12.72,313.0,37.0,As Expected,"(36.83745, -119.66072)"
2013-2014,Fresno,Community Regional Medical Center – Fresno,106100717,30-day Readmission,12.79,727.0,93.0,As Expected,"(36.74253, -119.78324)"
2013-2014,Fresno,Community Regional Medical Center – Fresno,106100717,30-day Mortality,14.57,801.0,76.0,Worse,"(36.74253, -119.78324)"
2013-2014,Fresno,Saint Agnes Medical Center,106100899,30-day Readmission,12.96,657.0,88.0,As Expected,"(36.8370782, -119.7649963)"
2013-2014,Fresno,Saint Agnes Medical Center,106100899,30-day Mortality,11.9,716.0,87.0,As Expected,"(36.8370782, -119.7649963)"
2013-2014,Fresno,Kaiser Foundation Hospital – Fresno,106104062,30-day Mortality,12.28,305.0,41.0,As Expected,"(36.84246, -119.7832)"
2013-2014,Fresno,Kaiser Foundation Hospital – Fresno,106104062,30-day Readmission,8.95,281.0,27.0,As Expected,"(36.84246, -119.7832)"
2013-2014,Humboldt,Mad River Community Hospital,106121002,30-day Readmission,6.87,54.0,3.0,As Expected,"(40.90351, -124.09038)"
2013-2014,Humboldt,Mad River Community Hospital,106121002,30-day Mortality,11.79,60.0,7.0,As Expected,"(40.90351, -124.09038)"
2013-2014,Humboldt,Redwood Memorial Hospital,106121051,30-day Mortality,19.17,33.0,6.0,As Expected,"(40.58267, -124.13549)"
2013-2014,Humboldt,Saint Joseph Hospital – Eureka,106121080,30-day Readmission,4.93,179.0,9.0,Better,"(40.7832, -124.14216)"
2013-2014,Humboldt,Saint Joseph Hospital – Eureka,106121080,30-day Mortality,9.07,198.0,18.0,As Expected,"(40.7832, -124.14216)"
2013-2014,Imperial,El Centro Regional Medical Center,106130699,30-day Readmission,11.77,213.0,27.0,As Expected,"(32.78138, -115.49824)"
2013-2014,Imperial,El Centro Regional Medical Center,106130699,30-day Mortality,6.14,226.0,12.0,As Expected,"(32.78138, -115.49824)"
2013-2014,Imperial,Pioneers Memorial Healthcare District,106130760,30-day Mortality,7.35,164.0,9.0,As Expected,"(32.96003, -115.55183)"
2013-2014,Imperial,Pioneers Memorial Healthcare District,106130760,30-day Readmission,13.71,155.0,22.0,As Expected,"(32.96003, -115.55183)"
2013-2014,Kern,Bakersfield Memorial Hospital,106150722,30-day Mortality,12.27,361.0,36.0,As Expected,"(35.39051, -119.00658)"
2013-2014,Kern,Bakersfield Memorial Hospital,106150722,30-day Readmission,12.77,330.0,41.0,As Expected,"(35.39051, -119.00658)"
2013-2014,Kern,Kern Medical Center,106150736,30-day Mortality,0.0,50.0,0.0,As Expected,"(35.380833, -118.967222)"
2013-2014,Kern,Kern Medical Center,106150736,30-day Readmission,9.6,50.0,5.0,As Expected,"(35.380833, -118.967222)"
2013-2014,Kern,Mercy Hospital – Bakersfield,106150761,30-day Readmission,15.45,231.0,33.0,As Expected,"(35.37323, -119.02715)"
2013-2014,Kern,Mercy Hospital – Bakersfield,106150761,30-day Mortality,9.33,251.0,22.0,As Expected,"(35.37323, -119.02715)"
2013-2014,Kern,Ridgecrest Regional Hospital,106150782,30-day Mortality,17.88,34.0,8.0,As Expected,"(35.6404, -117.66996)"
2013-2014,Kern,San Joaquin Community Hospital,106150788,30-day Readmission,12.32,560.0,67.0,As Expected,"(35.383064, -119.018775)"
2013-2014,Kern,San Joaquin Community Hospital,106150788,30-day Mortality,14.08,606.0,70.0,Worse,"(35.383064, -119.018775)"
2013-2014,Kern,Bakersfield Heart Hospital,106154101,30-day Readmission,13.87,85.0,11.0,As Expected,"(35.38619, -119.04314)"
2013-2014,Kern,Bakersfield Heart Hospital,106154101,30-day Mortality,12.31,90.0,9.0,As Expected,"(35.38619, -119.04314)"
2013-2014,Kings,Adventist Medical Center,106164029,30-day Mortality,12.58,248.0,22.0,As Expected,"(36.3256247, -119.6683912)"
2013-2014,Kings,Adventist Medical Center,106164029,30-day Readmission,9.59,229.0,21.0,As Expected,"(36.3256247, -119.6683912)"
2013-2014,Lake,Sutter Lakeside Hospital,106171395,30-day Readmission,7.22,58.0,4.0,As Expected,"(39.10232, -122.91003)"
2013-2014,Lake,Sutter Lakeside Hospital,106171395,30-day Mortality,9.93,63.0,7.0,As Expected,"(39.10232, -122.91003)"
2013-2014,Los Angeles,Alhambra Hospital Medical Center,106190017,30-day Readmission,11.2,104.0,13.0,As Expected,"(34.08988, -118.1449)"
2013-2014,Los Angeles,Alhambra Hospital Medical Center,106190017,30-day Mortality,6.85,110.0,7.0,As Expected,"(34.08988, -118.1449)"
2013-2014,Los Angeles,Antelope Valley Hospital,106190034,30-day Readmission,15.25,400.0,60.0,As Expected,"(34.68928, -118.15767)"
2013-2014,Los Angeles,Antelope Valley Hospital,106190034,30-day Mortality,15.8,438.0,56.0,Worse,"(34.68928, -118.15767)"
2013-2014,Los Angeles,Saint Mary Medical Center --Long Beach,106190053,30-day Mortality,9.29,197.0,17.0,As Expected,"(33.7802376, -118.1866412)"
2013-2014,Los Angeles,Saint Mary Medical Center --Long Beach,106190053,30-day Readmission,14.24,178.0,31.0,As Expected,"(33.7802376, -118.1866412)"
2013-2014,Los Angeles,Beverly Hospital,106190081,30-day Readmission,12.64,143.0,20.0,As Expected,"(34.01614, -118.10132)"
2013-2014,Los Angeles,Beverly Hospital,106190081,30-day Mortality,9.88,154.0,14.0,As Expected,"(34.01614, -118.10132)"
2013-2014,Los Angeles,Southern California Hospital At Culver City,106190110,30-day Readmission,16.57,96.0,18.0,As Expected,"(34.02328, -118.39724)"
2013-2014,Los Angeles,Southern California Hospital At Culver City,106190110,30-day Mortality,2.51,101.0,2.0,Better,"(34.02328, -118.39724)"
2013-2014,Los Angeles,California Hospital Medical Center – Los Angeles,106190125,30-day Readmission,13.53,318.0,44.0,As Expected,"(34.03721, -118.26551)"
2013-2014,Los Angeles,California Hospital Medical Center – Los Angeles,106190125,30-day Mortality,13.03,345.0,24.0,As Expected,"(34.03721, -118.26551)"
2013-2014,Los Angeles,Centinela Hospital Medical Center,106190148,30-day Readmission,14.76,410.0,76.0,As Expected,"(33.94917, -118.34788)"
2013-2014,Los Angeles,Centinela Hospital Medical Center,106190148,30-day Mortality,5.82,428.0,14.0,As Expected,"(33.94917, -118.34788)"
2013-2014,Los Angeles,Community and Mission Hospital of Huntington Park – Slauson,106190197,30-day Readmission,11.34,35.0,4.0,As Expected,"(33.98929, -118.22466)"
2013-2014,Los Angeles,Community and Mission Hospital of Huntington Park – Slauson,106190197,30-day Mortality,8.55,38.0,2.0,As Expected,"(33.98929, -118.22466)"
2013-2014,Los Angeles,Los Angeles Community Hospital,106190198,30-day Readmission,11.82,31.0,4.0,As Expected,"(34.01897, -118.1875)"
2013-2014,Los Angeles,Los Angeles Community Hospital,106190198,30-day Mortality,6.17,31.0,1.0,As Expected,"(34.01897, -118.1875)"
2013-2014,Los Angeles,San Gabriel Valley Medical Center,106190200,30-day Mortality,7.37,129.0,12.0,As Expected,"(34.1024, -118.10503)"
2013-2014,Los Angeles,San Gabriel Valley Medical Center,106190200,30-day Readmission,10.7,120.0,14.0,As Expected,"(34.1024, -118.10503)"
2013-2014,Los Angeles,Lakewood Regional Medical Center,106190240,30-day Readmission,15.41,343.0,55.0,As Expected,"(33.86016, -118.14837)"
2013-2014,Los Angeles,Lakewood Regional Medical Center,106190240,30-day Mortality,12.01,368.0,30.0,As Expected,"(33.86016, -118.14837)"
2013-2014,Los Angeles,Pih Hospital - Downey,106190243,30-day Readmission,9.35,193.0,18.0,As Expected,"(33.93515, -118.13196)"
2013-2014,Los Angeles,Pih Hospital - Downey,106190243,30-day Mortality,12.04,206.0,20.0,As Expected,"(33.93515, -118.13196)"
2013-2014,Los Angeles,Encino Hospital Medical Center,106190280,30-day Mortality,3.32,34.0,2.0,As Expected,"(34.15686, -118.48662)"
2013-2014,Los Angeles,Foothill Presbyterian Hospital – JohAs Expectedton Memorial,106190298,30-day Mortality,13.04,101.0,10.0,As Expected,"(34.13384, -117.87244)"
2013-2014,Los Angeles,Foothill Presbyterian Hospital – JohAs Expectedton Memorial,106190298,30-day Readmission,15.5,91.0,12.0,As Expected,"(34.13384, -117.87244)"
2013-2014,Los Angeles,"Pacific Alliance Medical Center, Inc.",106190307,30-day Readmission,5.83,112.0,7.0,As Expected,"(34.06464, -118.23905)"
2013-2014,Los Angeles,"Pacific Alliance Medical Center, Inc.",106190307,30-day Mortality,5.11,116.0,4.0,As Expected,"(34.06464, -118.23905)"
2013-2014,Los Angeles,Garfield Medical Center,106190315,30-day Readmission,15.06,293.0,48.0,As Expected,"(34.06826, -118.12302)"
2013-2014,Los Angeles,Garfield Medical Center,106190315,30-day Mortality,6.7,316.0,25.0,Better,"(34.06826, -118.12302)"
2013-2014,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,106190323,30-day Mortality,6.31,409.0,34.0,Better,"(34.14951, -118.23109)"
2013-2014,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,106190323,30-day Readmission,12.17,382.0,50.0,As Expected,"(34.14951, -118.23109)"
2013-2014,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Readmission,16.83,229.0,38.0,As Expected,"(34.09557, -118.29163)"
2013-2014,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Mortality,8.53,252.0,21.0,As Expected,"(34.09557, -118.29163)"
2013-2014,Los Angeles,Providence Holy Cross Medical Center,106190385,30-day Mortality,11.38,375.0,43.0,As Expected,"(34.2791, -118.45951)"
2013-2014,Los Angeles,Providence Holy Cross Medical Center,106190385,30-day Readmission,13.41,355.0,52.0,As Expected,"(34.2791, -118.45951)"
2013-2014,Los Angeles,Good Samaritan Hospital – Los Angeles,106190392,30-day Readmission,14.27,187.0,28.0,As Expected,"(34.05324, -118.26522)"
2013-2014,Los Angeles,Good Samaritan Hospital – Los Angeles,106190392,30-day Mortality,7.39,198.0,13.0,As Expected,"(34.05324, -118.26522)"
2013-2014,Los Angeles,Huntington Memorial Hospital,106190400,30-day Mortality,8.14,559.0,49.0,As Expected,"(34.13565, -118.1518)"
2013-2014,Los Angeles,Huntington Memorial Hospital,106190400,30-day Readmission,11.19,522.0,59.0,As Expected,"(34.13565, -118.1518)"
2013-2014,Los Angeles,Citrus Valley Medical Center – Inter Community Campus,106190413,30-day Mortality,8.43,146.0,10.0,As Expected,"(34.08993, -117.89264)"
2013-2014,Los Angeles,Citrus Valley Medical Center – Inter Community Campus,106190413,30-day Readmission,14.44,137.0,20.0,As Expected,"(34.08993, -117.89264)"
2013-2014,Los Angeles,Torrance Memorial Medical Center,106190422,30-day Readmission,14.58,552.0,79.0,As Expected,"(33.81258, -118.34388)"
2013-2014,Los Angeles,Torrance Memorial Medical Center,106190422,30-day Mortality,10.19,614.0,67.0,As Expected,"(33.81258, -118.34388)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – SuAs Expectedet,106190429,30-day Readmission,11.39,375.0,46.0,As Expected,"(34.09823, -118.29545)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – SuAs Expectedet,106190429,30-day Mortality,10.84,413.0,38.0,As Expected,"(34.09823, -118.29545)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,30-day Readmission,14.16,283.0,47.0,As Expected,"(33.789, -118.29415)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,30-day Mortality,10.58,316.0,31.0,As Expected,"(33.789, -118.29415)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,30-day Readmission,10.71,236.0,26.0,As Expected,"(34.21975, -118.43009)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,30-day Mortality,17.85,252.0,34.0,Worse,"(34.21975, -118.43009)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – West Los Angeles,106190434,30-day Readmission,12.75,429.0,60.0,As Expected,"(34.03793, -118.37568)"
2013-2014,Los Angeles,Kaiser Foundation Hospital – West Los Angeles,106190434,30-day Mortality,9.1,454.0,25.0,As Expected,"(34.03793, -118.37568)"
2013-2014,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,30-day Readmission,13.31,537.0,74.0,As Expected,"(33.83767, -118.35708)"
2013-2014,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,30-day Mortality,10.26,587.0,48.0,As Expected,"(33.83767, -118.35708)"
2013-2014,Los Angeles,Community Hospital Long Beach,106190475,30-day Readmission,5.96,48.0,3.0,As Expected,"(33.78871, -118.14578)"
2013-2014,Los Angeles,Community Hospital Long Beach,106190475,30-day Mortality,9.43,54.0,5.0,As Expected,"(33.78871, -118.14578)"
2013-2014,Los Angeles,Marina Del Rey Hospital,106190500,30-day Readmission,8.97,65.0,6.0,As Expected,"(33.98125, -118.43971)"
2013-2014,Los Angeles,Marina Del Rey Hospital,106190500,30-day Mortality,11.06,69.0,7.0,As Expected,"(33.98125, -118.43971)"
2013-2014,Los Angeles,Providence Tarzana Medical Center,106190517,30-day Readmission,12.53,215.0,28.0,As Expected,"(34.16985, -118.53136)"
2013-2014,Los Angeles,Providence Tarzana Medical Center,106190517,30-day Mortality,6.8,232.0,19.0,As Expected,"(34.16985, -118.53136)"
2013-2014,Los Angeles,Memorial Hospital of Gardena,106190521,30-day Readmission,13.77,89.0,14.0,As Expected,"(33.89246, -118.29493)"
2013-2014,Los Angeles,Memorial Hospital of Gardena,106190521,30-day Mortality,9.24,97.0,5.0,As Expected,"(33.89246, -118.29493)"
2013-2014,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,30-day Readmission,13.82,136.0,20.0,As Expected,"(34.1284, -118.25769)"
2013-2014,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,30-day Mortality,4.98,144.0,6.0,As Expected,"(34.1284, -118.25769)"
2013-2014,Los Angeles,Mission Community Hospital – Panorama Campus,106190524,30-day Readmission,12.51,47.0,7.0,As Expected,"(34.22138, -118.45639)"
2013-2014,Los Angeles,Mission Community Hospital – Panorama Campus,106190524,30-day Mortality,5.34,48.0,3.0,As Expected,"(34.22138, -118.45639)"
2013-2014,Los Angeles,Long Beach Memorial Medical Center,106190525,30-day Readmission,12.2,643.0,79.0,As Expected,"(33.80801, -118.1852)"
2013-2014,Los Angeles,Long Beach Memorial Medical Center,106190525,30-day Mortality,9.71,688.0,52.0,As Expected,"(33.80801, -118.1852)"
2013-2014,Los Angeles,Methodist Hospital of Southern California,106190529,30-day Readmission,12.48,511.0,67.0,As Expected,"(34.13603, -118.03879)"
2013-2014,Los Angeles,Methodist Hospital of Southern California,106190529,30-day Mortality,8.21,545.0,52.0,As Expected,"(34.13603, -118.03879)"
2013-2014,Los Angeles,Olympia Medical Center,106190534,30-day Readmission,15.89,57.0,11.0,As Expected,"(34.05754, -118.36008)"
2013-2014,Los Angeles,Olympia Medical Center,106190534,30-day Mortality,3.82,62.0,3.0,As Expected,"(34.05754, -118.36008)"
2013-2014,Los Angeles,Monterey Park Hospital,106190547,30-day Readmission,11.95,49.0,6.0,As Expected,"(34.05308, -118.13665)"
